command: ffmpeg -i /home/robert/Videos/bad.mkv -vf "scale=96:48" -f image2pipe -pix_fmt rgb24 -vcodec rawvideo -
current fps: 0.00 average: 0.00                     115789 function calls (112244 primitive calls) in 1.627 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 converters.py:1(<module>)
        1    0.001    0.001    0.032    0.032 separate_shader_objects.py:84(<module>)
        1    0.001    0.001    0.001    0.001 shutil.py:5(<module>)
        1    0.001    0.001    0.011    0.011 GL_3_3.py:1(<module>)
        1    0.001    0.001    0.024    0.024 drawable.py:19(<module>)
       31    0.001    0.000    0.002    0.000 _inspect.py:142(formatargspec)
       31    0.001    0.000    0.003    0.000 special.py:98(__init__)
      469    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
        2    0.001    0.001    0.011    0.006 vboimplementation.py:1(<module>)
        1    0.001    0.001    0.001    0.001 Lmcp.py:11(<module>)
        1    0.001    0.001    0.001    0.001 Fire.py:8(<module>)
      166    0.001    0.000    0.004    0.000 __init__.py:214(_releaseLock)
      270    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
       61    0.001    0.000    0.008    0.000 sre_compile.py:228(_compile_charset)
       38    0.001    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
       76    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
        1    0.001    0.001    0.003    0.003 _types.py:5(<module>)
      468    0.001    0.000    0.001    0.000 {globals}
        1    0.001    0.001    0.009    0.009 imaging.py:1(<module>)
      156    0.001    0.000    0.009    0.000 baseplatform.py:96(functionTypeFor)
      333    0.001    0.000    0.001    0.000 threading.py:64(_note)
      135    0.001    0.000    0.009    0.000 images.py:421(asWrapper)
        1    0.001    0.001    0.015    0.015 __init__.py:16(<module>)
      410    0.001    0.000    0.001    0.000 {ord}
        1    0.001    0.001    0.010    0.010 GL_1_4.py:1(<module>)
    49/25    0.001    0.000    0.031    0.001 sre_parse.py:317(_parse_sub)
      286    0.001    0.000    0.001    0.000 {range}
        1    0.001    0.001    0.011    0.011 debug.py:1(<module>)
      121    0.001    0.000    0.004    0.000 re.py:138(match)
       25    0.001    0.000    0.004    0.000 sre_compile.py:433(_compile_info)
        1    0.001    0.001    0.018    0.018 debug.py:118(<module>)
      316    0.001    0.000    0.001    0.000 {_ctypes.sizeof}
    20/15    0.001    0.000    0.003    0.000 abc.py:148(__subclasscheck__)
        1    0.001    0.001    0.001    0.001 runner.py:1(<module>)
        1    0.001    0.001    0.024    0.024 GL_1_4.py:9(<module>)
        1    0.001    0.001    0.008    0.008 shader_objects.py:1(<module>)
        1    0.001    0.001    0.001    0.001 Pong.py:1(<module>)
        1    0.001    0.001    0.003    0.003 result.py:1(<module>)
        1    0.001    0.001    0.010    0.010 constants.py:4(<module>)
        1    0.001    0.001    0.008    0.008 Queue.py:1(<module>)
       88    0.001    0.000    0.015    0.000 GL_4_1.py:12(_f)
        1    0.001    0.001    0.011    0.011 GL_4_2.py:1(<module>)
        1    0.001    0.001    0.002    0.002 baseplatform.py:2(<module>)
      334    0.001    0.000    0.001    0.000 {thread.get_ident}
        1    0.001    0.001    0.001    0.001 _glgets.py:1(<module>)
       17    0.001    0.000    0.007    0.000 argparse.py:1263(add_argument)
      270    0.001    0.000    0.001    0.000 {numpy.core.multiarray.add_docstring}
        1    0.001    0.001    0.004    0.004 special.py:22(<module>)
        1    0.001    0.001    0.013    0.013 framebuffer_object.py:274(<module>)
        1    0.001    0.001    0.006    0.006 GL_2_1.py:9(<module>)
